STREAM,ADMNO,ENG,KIS,MAT,BIO,PHY,CHE,HIS,GEO,CRE,HSC,AD,AGR,COM,FRE,GER,,MUS,BST
CENTRAL,6936,42,51,74,51,77,59,,73,56,,,,,,,,,
WEST,6941,52,40,78,53,65,62,,,64,,,,61,,,,,
CENTRAL,6781,51,47,77,55,57,59,,,61,,,,,,,,66,
,6637,52,50,63,56,60,50,,74,62,,,,,,,,,
CENTRAL,6715,47,47,62,56,56,52,,,73,,,,,,,,,76
WEST,6641,62,54,48,49,,62,66,,73,,,58,,,,,,
ALPHA,6860,49,50,64,50,64,59,,,55,,,,,,,,,77
CENTRAL,6787,54,55,78,49,64,52,,,61,,,,,,,,,55
ALPHA,6672,44,49,70,53,55,56,,66,70,,,,,,,,,
CENTRAL,6697,54,51,65,50,,49,,65,62,,,,,,,,,69
NORTH,6813,51,49,72,51,55,52,,63,73,,,,,,,,,
SOUTH,6778,47,46,63,54,50,55,,,77,,,72,,,,,,
NORTH,6735,45,55,55,57,,45,,75,67,,,,58,,,,,
CENTRAL,6727,49,58,67,58,58,63,,,65,,,,47,,,,,
WEST,6755,44,46,74,55,58,65,,,69,,,54,,,,,,
CENTRAL,6649,35,52,64,64,64,65,,,65,,,52,,,,,,
,6806,49,45,66,45,58,58,,,60,,,,,80,,,,
EAST,6868,42,44,60,61,62,68,,,65,,,,,,58,C+,,
EAST,6794,57,46,61,61,43,52,,,70,,67,,,,,,,
,6736,40,39,70,61,60,55,,57,73,,,,,,,,,
SOUTH,6796,44,41,70,50,65,54,,62,70,,,,,,,,,
WEST,6689,41,50,72,56,,61,48,,72,,,,,,58,C,,
ALPHA,6654,55,44,79,52,,58,,65,58,,,,53,,,,,
,6720,56,52,60,52,60,58,,,63,,,,,,54,C-,,
ALPHA,6810,59,45,76,52,47,50,61,,64,,,,,,,,,
EAST,6920,48,44,71,60,,61,,58,64,,,,50,,,,,
,6615,51,45,66,54,61,53,,,66,,,,59,,,,,
,6633,55,43,62,63,51,60,,,69,,,,51,,,,,
,6831,43,42,63,49,,50,67,,71,,,,,,,,,73
NORTH,6842,58,55,48,58,,40,66,,73,,,,57,,,,,
SOUTH,6622,46,47,65,57,49,52,,,73,,,,,,,,,69
,6647,48,52,67,56,,58,61,,66,47,,,,,,,,
,6761,48,55,56,46,,52,76,,68,,,,,54,,,,
WEST,6785,46,47,54,59,,58,56,,68,,,,,,,,,70
,6890,52,45,69,57,58,60,,56,55,,,,,,,,,
ALPHA,6912,58,42,66,51,64,55,56,,61,,,,,,,,,
,6674,55,55,59,51,62,60,,,59,,,,,,50,C,,
EAST,6740,50,47,72,56,,43,57,,60,,,,,67,,,,
