FORM,STREAM,ADMNO,STREAM,ADMNO,ENG,KIS,MAT,BIO,PHY,CHE,HIS,GEO,CRE,HSC,AD,AGR,COM,FRE,GER,MUS,BST
1,CENTRAL,7912,ALPHA,7728,78,70,60,65,53,54,75,68,95,60,nan,nan,71,nan,nan,nan,85
1,CENTRAL,7919,BETA,7792,62,50,44,76,69,50,55,56,80,nan,nan,92,66,nan,68,nan,nan
1,CENTRAL,7926,EAST,8083,80,75,nan,47,80,84,51,56,85,48,nan,nan,59,nan,nan,nan,40
1,CENTRAL,7933,NORTH,7865,73,72,85,56,60,58,45,65,92,61,nan,nan,39,nan,nan,nan,100
1,CENTRAL,7940,CENTRAL,7933,0,73,62,75,58,60,83,60,88,nan,57,nan,74,63,nan,nan,nan
1,CENTRAL,7947,NORTH,7781,53,63,55,32,44,66,50,46,69,nan,nan,68,45,nan,nan,nan,77
1,CENTRAL,7954,ALPHA,8039,67,57,64,57,60,53,78,52,97,62,nan,nan,61,nan,nan,nan,77
1,CENTRAL,7961,nan,7715,77,60,60,67,58,60,45,53,90,nan,nan,48,42,nan,nan,nan,nan
1,CENTRAL,7968,BETA,7757,55,58,66,64,56,66,58,44,88,38,nan,nan,53,nan,nan,nan,nan
1,CENTRAL,7975,nan,7691,75,93,44,66,48,60,60,74,91,73,nan,nan,76,nan,nan,84,nan
1,CENTRAL,7982,nan,7712,78,93,48,83,60,70,55,85,96,73,nan,nan,61,83,nan,nan,nan
1,CENTRAL,7989,SOUTH,7740,75,78,58,71,56,66,48,74,78,68,nan,nan,95,69,nan,nan,nan
1,CENTRAL,7996,nan,7734,45,73,36,89,40,78,53,71,78,43,nan,nan,55,nan,nan,nan,nan
1,CENTRAL,8010,WEST,7972,66,73,37,77,51,70,65,67,100,nan,nan,64,42,60,nan,nan,nan
1,CENTRAL,8017,nan,7854,72,62,32,69,58,54,68,54,57,50,nan,nan,61,79,nan,nan,nan
1,CENTRAL,8023,ALPHA,8059,65,70,32,69,44,50,73,44,92,nan,nan,54,74,nan,nan,nan,73
1,CENTRAL,8029,EAST,7830,83,83,nan,68,53,75,80,60,80,43,nan,nan,42,nan,nan,nan,57
1,CENTRAL,8036,nan,7788,78,65,88,47,62,74,73,88,98,nan,61,nan,75,81,nan,nan,nan
1,CENTRAL,8043,NORTH,8012,68,68,53,62,44,76,50,77,78,nan,nan,64,63,nan,nan,nan,80
1,CENTRAL,8049,SOUTH,7705,75,65,56,86,50,70,55,51,87,nan,54,nan,45,nan,nan,nan,nan
1,CENTRAL,8051,WEST,7993,60,70,44,29,42,62,65,71,78,71,nan,nan,37,81,nan,nan,nan
1,CENTRAL,8061,ALPHA,8034,72,65,64,57,58,50,70,58,85,nan,nan,64,55,nan,nan,nan,80
1,CENTRAL,8068,CENTRAL,7989,0,78,52,55,51,68,78,51,91,nan,nan,68,24,nan,nan,nan,nan
1,CENTRAL,8075,SOUTH,8031,74,88,50,74,65,42,83,68,98,nan,nan,76,74,nan,nan,83,nan
1,CENTRAL,8082,WEST,7895,60,73,78,86,64,88,85,71,98,nan,nan,64,84,nan,nan,nan,nan
1,CENTRAL,8089,ALPHA,7686,68,65,42,60,38,56,87,68,94,nan,50,nan,55,nan,nan,42,nan
1,CENTRAL,8100,BETA,8016,65,75,50,76,67,60,65,53,34,57,nan,nan,32,nan,nan,nan,nan
1,CENTRAL,8103,nan,7737,0,75,72,68,40,62,63,62,87,nan,64,nan,63,nan,nan,49,nan
1,CENTRAL,8104,CENTRAL,7828,0,83,52,60,38,82,53,58,54,nan,nan,68,39,77,nan,nan,nan
1,EAST,7675,nan,7976,70,95,nan,47,70,84,61,72,85,nan,nan,nan,21,77,nan,nan,nan
1,EAST,7682,nan,8004,73,63,nan,40,95,86,79,72,89,77,nan,nan,58,nan,nan,nan,88
1,EAST,7689,EAST,8038,73,88,nan,67,20,63,78,54,72,40,nan,nan,37,nan,nan,62,nan
1,EAST,7696,nan,7706,0,90,50,74,36,74,45,69,80,73,nan,nan,67,71,nan,nan,nan
1,EAST,7703,WEST,7755,58,75,64,80,51,72,60,60,87,nan,55,nan,50,nan,70,nan,nan
1,EAST,7710,SOUTH,7880,84,63,58,77,85,82,65,64,78,nan,nan,84,67,nan,nan,nan,nan
1,EAST,7717,CENTRAL,7751,0,88,74,75,53,72,70,53,84,57,nan,nan,63,nan,nan,42,nan
1,EAST,7724,nan,7812,67,54,60,57,53,52,83,54,98,62,nan,nan,68,nan,nan,nan,80
1,EAST,7731,ALPHA,7938,55,73,36,62,60,62,58,68,74,45,nan,nan,61,nan,nan,nan,87
1,EAST,7738,NORTH,7858,60,63,73,44,49,56,53,71,75,nan,61,nan,53,77,nan,nan,nan
1,EAST,7745,BETA,7694,58,70,22,0,73,78,70,60,88,28,nan,nan,82,nan,nan,nan,nan
1,EAST,7752,NORTH,7984,77,48,73,56,38,64,55,77,85,45,nan,nan,74,nan,nan,nan,77
1,EAST,7759,WEST,8047,58,80,58,15,36,62,58,73,78,46,nan,nan,45,nan,nan,76,nan
1,EAST,7766,ALPHA,7917,77,57,74,43,47,64,58,68,80,48,nan,nan,76,nan,72,nan,nan
1,EAST,7773,nan,7882,77,68,90,40,62,78,83,60,89,64,nan,nan,71,nan,nan,62,nan
1,EAST,7780,ALPHA,7910,70,73,56,40,53,54,68,60,94,nan,nan,52,71,85,nan,nan,nan
1,EAST,7787,BETA,8102,63,53,50,71,89,58,68,56,90,nan,nan,80,61,nan,nan,71,nan
1,EAST,7794,nan,7702,0,78,62,60,53,70,73,62,78,55,nan,nan,46,nan,nan,42,nan
1,EAST,7798,CENTRAL,8104,0,70,50,62,44,66,70,47,88,nan,nan,80,55,nan,nan,nan,nan
1,EAST,7801,NORTH,8045,58,70,45,32,58,54,63,59,68,nan,nan,60,71,nan,nan,nan,78
1,EAST,7808,SOUTH,7684,76,63,48,54,8,30,73,51,84,nan,56,nan,50,nan,70,nan,nan
1,EAST,7815,nan,7764,60,57,62,76,56,46,45,62,80,30,nan,nan,29,nan,nan,35,nan
1,EAST,7822,BETA,7925,65,65,62,53,71,78,53,49,80,58,nan,nan,37,nan,nan,nan,nan
1,EAST,7829,NORTH,7809,63,68,53,79,56,68,68,40,83,73,nan,nan,63,nan,nan,nan,95
1,EAST,7830,SOUTH,7761,65,63,52,66,8,28,60,51,96,68,nan,nan,55,nan,nan,76,nan
1,EAST,7836,nan,7783,65,83,66,80,67,78,63,87,89,65,nan,nan,55,nan,nan,nan,nan
1,EAST,7843,WEST,8085,58,68,68,83,53,80,63,67,96,43,nan,nan,58,nan,48,nan,nan
1,EAST,7864,EAST,7682,78,70,nan,56,65,65,69,46,86,48,nan,nan,26,nan,68,nan,nan
1,EAST,7871,NORTH,7816,57,72,75,53,49,62,43,67,82,72,nan,nan,63,nan,nan,nan,93
1,EAST,7878,ALPHA,7875,50,51,36,57,58,80,85,62,85,62,nan,nan,76,nan,nan,nan,75
1,EAST,7892,BETA,7855,57,63,72,68,73,68,53,64,70,40,nan,nan,55,90,nan,nan,nan
1,EAST,7899,nan,7714,65,95,50,69,56,56,58,54,75,nan,nan,76,63,nan,nan,nan,77
1,EAST,7906,ALPHA,8066,58,68,62,54,69,67,78,76,78,20,nan,nan,63,nan,nan,nan,75
1,EAST,7913,nan,7683,63,72,85,41,38,64,48,53,77,43,nan,nan,53,77,nan,nan,nan
1,EAST,7927,NORTH,8032,63,70,73,41,29,56,40,74,60,67,nan,nan,50,nan,68,nan,nan
1,EAST,7934,SOUTH,7698,74,80,54,74,50,68,65,60,100,62,nan,nan,72,nan,nan,nan,nan
1,EAST,7941,WEST,7853,66,86,60,69,56,64,65,69,89,72,nan,nan,55,71,nan,nan,nan
1,EAST,7948,WEST,7720,70,73,58,89,2,82,48,49,98,71,nan,nan,47,nan,nan,nan,nan
1,EAST,7955,EAST,7731,65,83,nan,75,68,76,69,60,84,nan,nan,nan,53,21,nan,nan,nan
1,EAST,7962,BETA,7939,52,75,64,79,62,60,48,49,39,nan,nan,63,61,nan,nan,nan,nan
1,EAST,7969,nan,7753,67,55,78,65,58,74,48,69,85,68,nan,nan,61,nan,nan,nan,60
1,EAST,7976,NORTH,7893,58,65,80,50,33,40,40,53,72,nan,nan,60,34,nan,nan,nan,90
1,EAST,7983,WEST,8086,56,60,58,83,58,56,38,73,74,nan,nan,72,50,nan,nan,nan,nan
1,EAST,7990,nan,7959,50,49,50,60,47,56,73,68,85,42,nan,nan,66,nan,nan,nan,78
1,EAST,7997,ALPHA,8115,80,57,32,43,71,55,38,58,80,25,nan,nan,47,75,nan,nan,nan
1,EAST,8003,BETA,7722,67,60,42,64,69,64,55,33,60,55,nan,nan,34,27,nan,nan,nan
1,EAST,8004,CENTRAL,7723,0,80,48,72,30,66,70,62,82,50,nan,nan,39,nan,nan,nan,nan
1,EAST,8011,EAST,7780,83,98,nan,45,45,84,87,54,78,52,nan,nan,26,nan,nan,nan,80
1,EAST,8018,nan,7842,68,83,52,89,44,76,43,73,82,60,nan,nan,36,77,nan,nan,nan
1,EAST,8024,WEST,7923,65,83,44,14,40,62,63,62,80,53,nan,nan,49,85,nan,nan,nan
1,EAST,8030,ALPHA,7693,70,62,44,43,58,46,75,60,82,nan,nan,84,42,nan,nan,nan,95
1,EAST,8038,BETA,7785,63,45,52,79,51,58,60,53,80,55,nan,nan,50,nan,nan,68,nan
